url,average_commit_time (ms),average_image_gathering_time (ms),average_num_layers_drawn (),average_num_missing_tiles (),dom_content_loaded_time (seconds),dropped_percent (%),first_paint (ms),load_time (seconds),mean_frame_time (ms),percent_impl_scrolled (%),texture_upload_count (count),total_deferred_image_decode_count (count),total_deferred_image_decoding_time (seconds),total_image_cache_hit_count (count),total_texture_upload_time (seconds)
v1.1.0/button-basic.html,0,0,0.0,0.0,0.043,0.0,81.0,0.066,8.678,0.0,0,0,0,0,0
v1.1.1/button-basic.html,0,0,0.0,0.0,0.044,0.0,81.0,0.067,8.683,0.0,0,0,0,0,0
v1.2.0/button-basic.html,0,0,0.0,0.0,0.041,0.0,77.0,0.063,8.512,0.0,0,0,0,0,0
v1.3.0/button-basic.html,0,0,0.0,0.0,0.043,0.0,84.0,0.069,8.677,0.0,0,0,0,0,0
v1.4.0/button-basic.html,0,0,0.0,0.0,0.044,0.0,85.0,0.071,8.623,0.0,0,0,0,0,0
v2.0.0/button-basic.html,0,0,0.0,0.0,0.046,0.0,78.0,0.064,8.714,0.0,0,0,0,0,0
v2.0.1/button-basic.html,0,0,0.0,0.0,0.049,0.0,81.0,0.067,8.57,0.0,0,0,0,0,0
v2.0.2/button-basic.html,0,0,0.0,0.0,0.049,0.0,82.0,0.066,8.633,0.0,0,0,0,0,0
v2.0.3/button-basic.html,0,0,0.0,0.0,0.051,0.0,87.0,0.072,8.638,0.0,0,0,0,0,0
v2.0.4/button-basic.html,0,0,0.0,0.0,0.049,0.0,85.0,0.07,8.59,0.0,0,0,0,0,0
v2.1.0/button-basic.html,0,0,0.0,0.0,0.053,0.0,89.0,0.074,8.693,0.0,0,0,0,0,0
v2.1.1/button-basic.html,0,0,0.0,0.0,0.11,0.0,144.0,0.13,8.703,0.0,0,0,0,0,0
v2.2.0/button-basic.html,0,0,0.0,0.0,0.06,0.0,96.0,0.08,8.731,0.0,0,0,0,0,0
v2.2.1/button-basic.html,0,0,0.0,0.0,0.054,0.0,90.0,0.075,8.708,0.0,0,0,0,0,0
v2.2.2/button-basic.html,0,0,0.0,0.0,0.055,0.0,89.0,0.074,8.726,0.0,0,0,0,0,0
v2.3.0/button-basic.html,0,0,0.0,0.0,0.054,0.0,89.0,0.074,8.733,0.0,0,0,0,0,0
v2.3.1/button-basic.html,0,0,0.0,0.0,0.056,0.0,91.0,0.076,8.626,0.0,0,0,0,0,0
v2.3.2/button-basic.html,0,0,0.0,0.0,0.055,0.0,89.0,0.073,8.562,0.0,0,0,0,0,0
v3.0.0-rc.2/button-basic.html,0,0,0.0,0.0,0.047,0.0,73.0,0.065,8.543,0.0,0,0,0,0,0
v3.0.0-rc1/button-basic.html,0,0,0.0,0.0,0.043,0.0,70.0,0.063,8.55,0.0,0,0,0,0,0
v3.0.0-rcFinal/button-basic.html,0,0,0.0,0.0,0.049,0.0,87.0,0.077,8.592,0.0,0,0,0,0,0
v1.0.0/button-groups.html,0,0,0.0,0.0,0.535,0.0,1850.0,1.12,8.54,0.0,0,0,0,0,0
v1.1.0/button-groups.html,0,0,0.0,0.0,0.544,0.0,1825.0,1.152,8.49,0.0,0,0,0,0,0
v1.1.1/button-groups.html,0,0,0.0,0.0,0.598,0.0,2000.0,1.267,8.577,0.0,0,0,0,0,0
v1.2.0/button-groups.html,0,0,0.0,0.0,0.483,0.0,1301.0,0.879,8.426,0.0,0,0,0,0,0
v1.3.0/button-groups.html,0,0,0.0,0.0,0.507,0.0,1366.0,0.907,8.385,0.0,0,0,0,0,0
v1.4.0/button-groups.html,0,0,0.0,0.0,0.457,0.0,1374.0,0.902,12.952,0.0,0,0,0,0,0
v2.0.0/button-groups.html,0,0,0.0,0.0,0.601,0.0,1659.0,1.081,15.5,0.0,0,0,0,0,0
